Produto;Ano;UF de Origem;UF de Destino;Unidade;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;Total
Biodiesel B100;2020;BA;AL;m³;1949,886;;;;;;;;;;;;1949,886
Biodiesel B100;2020;BA;BA;m³;15714,848;;;;;;;;;;;;15714,848
Biodiesel B100;2020;BA;CE;m³;6210,243;;;;;;;;;;;;6210,243
Biodiesel B100;2020;BA;MA;m³;2741,722;;;;;;;;;;;;2741,722
Biodiesel B100;2020;BA;PB;m³;3886,108;;;;;;;;;;;;3886,108
Biodiesel B100;2020;BA;PE;m³;10197,293;;;;;;;;;;;;10197,293
Biodiesel B100;2020;BA;RN;m³;3149,605;;;;;;;;;;;;3149,605
Biodiesel B100;2020;GO;BA;m³;10158,446;;;;;;;;;;;;10158,446
Biodiesel B100;2020;GO;CE;m³;228,963;;;;;;;;;;;;228,963
Biodiesel B100;2020;GO;DF;m³;3843,315;;;;;;;;;;;;3843,315
Biodiesel B100;2020;GO;ES;m³;1307,788;;;;;;;;;;;;1307,788
Biodiesel B100;2020;GO;GO;m³;18970,888;;;;;;;;;;;;18970,888
Biodiesel B100;2020;GO;MA;m³;4766,214;;;;;;;;;;;;4766,214
Biodiesel B100;2020;GO;MG;m³;13595,176;;;;;;;;;;;;13595,176
Biodiesel B100;2020;GO;PA;m³;2320,781;;;;;;;;;;;;2320,781
Biodiesel B100;2020;GO;PB;m³;113,17;;;;;;;;;;;;113,17
Biodiesel B100;2020;GO;PE;m³;3108,79;;;;;;;;;;;;3108,79
Biodiesel B100;2020;GO;RN;m³;1246,719;;;;;;;;;;;;1246,719
Biodiesel B100;2020;MG;MG;m³;10395,966;;;;;;;;;;;;10395,966
Biodiesel B100;2020;MS;DF;m³;6329,867;;;;;;;;;;;;6329,867
Biodiesel B100;2020;MS;MG;m³;6385,92;;;;;;;;;;;;6385,92
Biodiesel B100;2020;MS;PR;m³;349,992;;;;;;;;;;;;349,992
Biodiesel B100;2020;MS;RJ;m³;2291,38;;;;;;;;;;;;2291,38
Biodiesel B100;2020;MS;SP;m³;12182,752;;;;;;;;;;;;12182,752
Biodiesel B100;2020;MT;BA;m³;540,861;;;;;;;;;;;;540,861
Biodiesel B100;2020;MT;DF;m³;36944,577;;;;;;;;;;;;36944,577
Biodiesel B100;2020;MT;GO;m³;6815,548;;;;;;;;;;;;6815,548
Biodiesel B100;2020;MT;MA;m³;7725,68;;;;;;;;;;;;7725,68
Biodiesel B100;2020;MT;MG;m³;11926,568;;;;;;;;;;;;11926,568
Biodiesel B100;2020;MT;PA;m³;42801,857;;;;;;;;;;;;42801,857
Biodiesel B100;2020;MT;PE;m³;114,63;;;;;;;;;;;;114,63
Biodiesel B100;2020;MT;PR;m³;44,456;;;;;;;;;;;;44,456
Biodiesel B100;2020;MT;SP;m³;1159,08;;;;;;;;;;;;1159,08
Biodiesel B100;2020;PI;CE;m³;59,31;;;;;;;;;;;;59,31
Biodiesel B100;2020;PI;MA;m³;326,465;;;;;;;;;;;;326,465
Biodiesel B100;2020;PR;ES;m³;3459,424;;;;;;;;;;;;3459,424
Biodiesel B100;2020;PR;MG;m³;2008,65;;;;;;;;;;;;2008,65
Biodiesel B100;2020;PR;PR;m³;16767,683;;;;;;;;;;;;16767,683
Biodiesel B100;2020;PR;RJ;m³;10638,638;;;;;;;;;;;;10638,638
Biodiesel B100;2020;PR;SC;m³;1002,485;;;;;;;;;;;;1002,485
Biodiesel B100;2020;PR;SP;m³;26232,2;;;;;;;;;;;;26232,2
Biodiesel B100;2020;RJ;ES;m³;3208,986;;;;;;;;;;;;3208,986
Biodiesel B100;2020;RJ;RJ;m³;3991,639;;;;;;;;;;;;3991,639
Biodiesel B100;2020;RJ;SP;m³;43,604;;;;;;;;;;;;43,604
Biodiesel B100;2020;RO;AM;m³;421;;;;;;;;;;;;421
Biodiesel B100;2020;RO;PA;m³;150,594;;;;;;;;;;;;150,594
Biodiesel B100;2020;RS;MG;m³;880,246;;;;;;;;;;;;880,246
Biodiesel B100;2020;RS;PR;m³;124,711;;;;;;;;;;;;124,711
Biodiesel B100;2020;RS;RJ;m³;3845,186;;;;;;;;;;;;3845,186
Biodiesel B100;2020;RS;RS;m³;80763,438;;;;;;;;;;;;80763,438
Biodiesel B100;2020;RS;SC;m³;14511,45;;;;;;;;;;;;14511,45
Biodiesel B100;2020;RS;SP;m³;33189,708;;;;;;;;;;;;33189,708
Biodiesel B100;2020;SC;PR;m³;3595,08;;;;;;;;;;;;3595,08
Biodiesel B100;2020;SC;SC;m³;1760,295;;;;;;;;;;;;1760,295
Biodiesel B100;2020;SC;SP;m³;4458,521;;;;;;;;;;;;4458,521
Biodiesel B100;2020;SP;ES;m³;1450,448;;;;;;;;;;;;1450,448
Biodiesel B100;2020;SP;GO;m³;450,464;;;;;;;;;;;;450,464
Biodiesel B100;2020;SP;MG;m³;5521,178;;;;;;;;;;;;5521,178
Biodiesel B100;2020;SP;RJ;m³;59,496;;;;;;;;;;;;59,496
Biodiesel B100;2020;SP;SP;m³;8336,83;;;;;;;;;;;;8336,83
Biodiesel B100;2020;TO;BA;m³;341,01;;;;;;;;;;;;341,01
Biodiesel B100;2020;TO;DF;m³;886,849;;;;;;;;;;;;886,849
Biodiesel B100;2020;TO;MA;m³;3518,808;;;;;;;;;;;;3518,808
Biodiesel B100;2020;TO;PA;m³;1563,631;;;;;;;;;;;;1563,631
